RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
,"Adquiri o combo multi da Claro envolvendo: TV 4K, internet fibra, telefone e celular (ambos,  portabilidade da VIVO), pelo valor mensal de R$ 278,00. Sem fidelidade._x000D_
Ocorre, contudo, que passados quase 30 dias, a Claro não concluiu a portabilidade do telefone fixo de n° (62) 3246-4537 da operadora VIVO para a Claro. Instalaram todos os equipamentos na residência. O telefone foi instalado com um número temporário. Disseram que a portabilidade do celular e do telefone fixo ocorreria entre 24h e 48h._x000D_
O celular ocorreu dentro do prometido, já o fixo não houve a portabilidade, ou seja, o número temporário não deixou de funcionar e o 3246-4537 continua habilitado e funcionando na VIVO. Vejamos algumas das tentativas para resolver, nas quais pedem 72h, depois 9 dias, depois 21... Pura embromação._x000D_
Alguns dos protocolos sobre esta reclamação: 010214461388246; 010214461410305; 010214461410321; 010214461419173; 010214461439734; 010214461439759; 010214461450657; 010214461450855; 010214461459344; 010214461459369; 010214461958931; 010214461983566; 010214461983582; 010214461983590; 010214461983608; 010214461991692; 010214461991734; 010214461995529; 010214461995610; 010214464623565; 010214465546427; 010214465829203; 010214465833411; 010214466936189; 010214466985764; 010214468908392; 010214470809554; 010214471070834; 010214471087689; 010214471087689; 010214473778806; 010214473778806; 010214473801277; 010214477508845; 010214477508845; 010214465546427_x000D_
Requeiro urgentemente que a Claro conclua a portabilidade do no número do meu telefone fixo (62) 3246-4537, pois da forma como está, estou pagando duas contas de telefone fixo. O número temporário de Claro e o meu número real na VIVO.",,,,,,,
,"Boa noite! meu nome é Alessandra. Meu marido solicitou uma portabilidade e contratou um serviço de internet em janeiro, mas a portabilidade não saiu. Depois de muitos dias fui descobrir que a linha do telefone está no nome da minha mãe e o plano está no nome do meu marido. Solicitei 3 vezes a mudança de titularidade, mas a Claro não conclui. Só fica enrolando e a fatura chegou como se eu estivesse usando o serviço. Estou pagando as duas operadoras OI e Claro. Não posso cancelar enquanto a portabilidade não sair. Poderiam me ajudar? obrigada!_x000D_
Att: Alessandra_x000D_
",,,,,,,
Demora na portabilidade,"Realizei uma troca de plano para melhoria do Wifi da minha residência e o atendente da NET me ofereceu um plano de portabilidade que me interessou. Confirmei que gostaria de realizar minha portabilidade da OI para NET CLARO mas já vai fazer 3 semana que não cumpriram o combinado. Agora estou sem telefone móvel por que meu número na OI já não funciona e a portabilidade não foi feita. Ou seja, estou sem celular e provavelmente no boleto já virá cobrando.",,,,,,,
,"Foi solicitado a mudança de endereço e por se tratar de mesma operadora e dentro da mesma cidade achei que fosse permanecer o mesmo número de telefone, a operadora não ofereceu a portabilidade onde foi preciso eu efetuar esse pedido posteriormente e até o momento não estão atendendo a solicitação para a transferência do telefone fixo (19) 3849-1069 para o meu novo endereço Rua Vitório Baron, 570 - Ap 1207 - Edifício Sicília - Jd das Figueiras - Valinhos/SP._x000D_
_x000D_
Contrato: 272/009038698 - Protocolos: 272213869179366 / 272213862490190 / 272213866492853 / 272213870284882 / 272213869179366",,,,,,,
Demora na portabilidade,"Bom dia!_x000D_
No dia 12/03/21 iniciou-se o processo de portabilidade da minha linha, 031 99310-2421, por volta das 08:00 conforme agendado. Após o cancelamento do meu número na antiga operadora e perda do seu sinal, no caso TIM, em nenhum momento foi obtido sinal de celular da Claro, impossibilitando a realização e recebimento de chamadas e entrar na internet pelos dados móveis. Tal situação foi verificada em um outro aparelho celular, evidenciando que a falha era da operadora e não dos 2 telefones testados (que inclusive funcionaram normalmente com outros chips). _x000D_
No próprio dia 12/03/21 foram realizados vários contatos com a operadora, que em nenhum momento se mostrou disposta a resolver o problema e sempre transferia a responsabilidade para outra área. Fui transferido várias vezes para os seguintes telefones:_x000D_
0800 723 6626_x000D_
106 99_x000D_
106 21_x000D_
1052_x000D_
Até o momento não me foi passada nenhuma previsão efetiva de normalização, sendo que no último contato fui informado de que a área técnica iria resolver o problema em até 24 horas, prazo que terminou na tarde do dia 14/03/21._x000D_
A falta de sinal me impossibilita estabelecer um atendimento adequado, pois estou sem telefone para ligar nos números citados e nenhum outro meio de atendimento me foi prestado._x000D_
Segue os números de protocolos de alguns dos vários atendimentos:_x000D_
2021228445461_x000D_
2021228518715_x000D_
013211085242277_x000D_
013211085195418_x000D_
013211085487237",,,,,,,
Demora na portabilidade,"No 10/03 a Claro informou que a minha portabilidade estaria disponivel até as 22 horas e ate hoje não esta funcionando , ja liguei diversas e a mesma conversa que vai atualizar a ira funcionar em até 4 horas. Estou sem telefone 7 dias e nunca tenho retorno esperado.",,,,,,,
Demora na portabilidade,"Me chamo Bruno, possuía o número (11)970373987 anteriormente na operadora Oi. Na data do dia 26/02 entrei em contato com a Claro e solicitei a portabilidade via telefone conforme protocolo 661213847663381. Me orientaram a respeito do prazo da solicitação e o chip que chegaria em minha residência. Aguardei todo esse tempo e o chip da operador chegou em minha residência, ativei o mesmo e a portabilidade ficou agendada para o dia 02/03. Na data e no horário agendado, o chip da outra operadora parou de funcionar entretanto o chip que estava em meu aparelho da Claro não entrou em funcionamento. Mesmo assim aguardei algumas horas e sem êxito. Entrei em contato no dia 03/03 (dia seguinte) conforme protocolo: 661213858999179. Me informaram para aguarda mais 48h para ativação do chip. Decorrido o tempo, e o chip não entrou em funcionamento. Nesse meio termo para não ficar sem número, adquirir um chip provisório pré pago. Aguardei mais alguns dias, testei o chip em outro aparelho, imaginando ser o aparelho com defeito e mesmo assim, o problema persistia. No dia 09/03 entrei em contato via telefone pelo portal de atendimento da Claro conforme protocolo:  atendente Laiane e que me informou que teria que abrir um chamado e este teria o prazo de 3 dias corridos para ser resolvido o problema, e ainda informou que a Claro entraria em contato comigo para solucionar o problema, alegando que o número já está na claro, porém este esta suspenso. Decorrido os dias da última solicitação, nenhum número entrou em contato comigo e liguei novamente no dia 13/03 conforme protocolo:661213870359196 e e obtive a informação que não havia um chamado aberto para resolver a situação, e teria que abrir um novo e aguarda mais 3 dias para resolver o problema. E nesse meio termo já estou sem telefone há duas semanas, tendo que usar um número provisório pré pago. ",,,,,,,
,"Descrição do problema:  Consumidor(a) reclama que solicitou portabilidade para a CLARO porém a prestadora não está atendendo suas necessidades por conta dos dados e até o momento seus serviços não foram portados._x000D_
_x000D_
O que o(a) consumidor(a) solicita como providências: Que a prestadora regularize seus dados e realize a portabilidade das linhas._x000D_
_x000D_
Serviço Reclamado: Fixo_x000D_
_x000D_
Telefone associado ao problema(quando for linha telefônica): 8133616225 / 8130936225",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) informa que em 20 de janeiro solicitou portabilidade da OI para CLARO,  foi feito o envio de um chip novo, é informada que sua linha esta ativa mais  a linha não funciona e sua portabilidade não foi concluída. Fala com diversos atendentes e seu problema não é resolvido. _x000D_
Serviço reclamado: pós-pago _x000D_
O que o consumidor solicita como providencias: Conclusão da portabilidade. _x000D_
Telefone associado ao problema: 6292370107 _x000D_
_x000D_
_x000D_
",,,,,,,
Demora na portabilidade,"O problema reclamado:Consumidor(a) foi solicitado a portabilidade em Janeiro e não foi realizado até o momento e está sendo cobrado pela prestadora anterior. _x000D_
O que deseja como solução:Seja resolvido o problema._x000D_
O(s) serviço(s):Pós pago._x000D_
Número da linha:66996015189_x000D_
Protocolo ANATEL:",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que solicitou a portabilidade para Claro e não foi realizada._x000D_
_x000D_
O que o Consumidor solicita como providências: A conclusão da portabilidade com urgência_x000D_
_x000D_
Serviço Reclamado: linha móvel._x000D_
_x000D_
Telefone associado ao problema: 81979097903_x000D_
",,,,,,,
Cobrança indevida,"Recebia constantemente mensagens para mudar para Claro flex pois hoje sou cliente Nextel happy, como não consegui fazer a mudança de plano sozinho liguei na central e me informaram que teria que aderir um número Claro pré cadastrar na promoção flex com meu cupom promocional fiz isso e aderi ao plano no valor de 49,99 que foi cobrado em meu cartão de crédito, solicitei a portabilidade em 01/03/2021 conforme fui orientado e a mesma não foi feita liguei para pegar informações e me orientaram a ir a uma loja na loja informaram que minha portabilidade não será efetuada e que meu número caiu em uma lista chamada ""pool"" onde eu perdi o número , não consigo mais fazer a portabilidade e nem cancelar a mesma, assim impossibilitando que eu cancele meu plano claro flex. Quero cancelar o plano e quero o estorno do valor cobrado visto que não usei em nada o plano e a portabilidade não foi efetuada.
Meu número para ser portado: (11) 947445524
Meu número Claro flex : (11)993030629
",,,,,,,
Demora na portabilidade,"Solicitei a alteração do meu número principal da Claro (13 974061029) por um número da Vivo (13 997871710), ficaram de efetuar a substituição no dia 05.03.2021 porém não aconteceu e o meu número (13997871710) da vivo parou de funcionar.  Fiz uma reclamação e ficaram de entrar em contato, porém não aconteceu. Reclamei novamente ontem (protocolo 659213472189631), hoje me ligaram apenas para confirmar a reclamação e falaram para esperar o contato de outro setor. Fiz a reclamação na ouvidoria hoje (protocolo 659213472466310) foi informado que seria uma prioridade, mas que talvez não seja tratado assim e o prazo normal seria de 5 dias.",,,,,,,
,"fiz minha portabilidade da operadora vivo para claro ,e meu chip nao chegou ,e ja veio os boletos para pagar sem eu estar usando queria ver se vao enviar o chip ?e ver sobre as contas vencidas sem eu utilizar!",,,,,,,
,"Em Janeiro de 2021 , fiz uma solicitação para mudar para Claro, porém logo em seguida resolvi não migrar mais e Solicitei que não fosse feita a portabilidade isto em janeiro de 2021, porém hoje dia 15/03/2021 ele realizaram a portabilidade sem comunicar e mesmo com a solicitação de cancelamento. Migraram algumas linhas do meu plano, se trata de linhas comerciais e estou com minha empresa sem comunicação. Está atrapalhando as minhas vendas, preciso urgente que cancele está transferencia e volte as minhas linhas para a vivo. Fizeram sem autorização. Tento ligar na claro desde cedo e a ligação do fica caindo quando cai transferir para o setor responsável . ",,,,,,,
,"Em Janeiro de 2021 , fiz uma solicitação para mudar para Claro, porém logo em seguida resolvi não migrar mais e Solicitei que não fosse feita a portabilidade isto em janeiro de 2021, porém hoje dia 15/03/2021 ele realizaram a portabilidade sem comunicar e mesmo com a solicitação de cancelamento. Migraram algumas linhas do meu plano, se trata de linhas comerciais e estou com minha empresa sem comunicação. Está atrapalhando as minhas vendas, preciso urgente que cancele está transferencia e volte as minhas linhas para a vivo. Fizeram sem autorização. Tento ligar na claro desde cedo e a ligação do fica caindo quando cai transferir para o setor responsável . ",,,,,,,
